,id,snapshot.id,snapshot.name,sourceLocation.id,sourceLocation.name,sourceLocation.type,destinationLocation.id,destinationLocation.name,destinationLocation.type,count
0,259588,12,04/2019,1295,Blansko,ORP,3115,Jihomoravský kraj,Kraj,27607
1,268402,12,04/2019,51,Beroun,ORP,3026,Středočeský kraj,Kraj,25804
2,259282,12,04/2019,27,Benešov,ORP,3026,Středočeský kraj,Kraj,24745
3,203713,12,04/2019,51,Beroun,ORP,40177,Beroun,Okres,23988
4,260418,12,04/2019,1309,Boskovice,ORP,3115,Jihomoravský kraj,Kraj,23555
5,33794,12,04/2019,51,Beroun,ORP,51,Beroun,ORP,22944
6,242011,12,04/2019,27,Benešov,ORP,40169,Benešov,Okres,22134
7,225296,12,04/2019,1295,Blansko,ORP,40703,Blansko,Okres,22100
8,224253,12,04/2019,1309,Boskovice,ORP,40703,Blansko,Okres,21638
9,67025,12,04/2019,27,Benešov,ORP,27,Benešov,ORP,21456
10,27908,12,04/2019,1295,Blansko,ORP,1295,Blansko,ORP,20413
11,24498,12,04/2019,1309,Boskovice,ORP,1309,Boskovice,ORP,18289
12,274358,12,04/2019,1783,Bohumín,ORP,3140,Moravskoslezský kraj,Kraj,16699
13,271285,12,04/2019,1830,Bílovec,ORP,3140,Moravskoslezský kraj,Kraj,12733
14,240718,12,04/2019,1783,Bohumín,ORP,40886,Karviná,Okres,12250
15,249564,12,04/2019,906,Bílina,ORP,3069,Ústecký kraj,Kraj,11535
16,233186,12,04/2019,906,Bílina,ORP,40509,Teplice,Okres,10741
17,27718,12,04/2019,1783,Bohumín,ORP,1783,Bohumín,ORP,10415
18,193071,12,04/2019,1830,Bílovec,ORP,40894,Nový Jičín,Okres,9886
19,270706,12,04/2019,507,Aš,ORP,3051,Karlovarský kraj,Kraj,9102
20,221965,12,04/2019,507,Aš,ORP,40428,Cheb,Okres,8983
21,33353,12,04/2019,906,Bílina,ORP,906,Bílina,ORP,8834
22,47170,12,04/2019,1830,Bílovec,ORP,1830,Bílovec,ORP,8672
23,54630,12,04/2019,507,Aš,ORP,507,Aš,ORP,8234
24,251548,12,04/2019,434,Blatná,ORP,3034,Jihočeský kraj,Kraj,5939
25,251217,12,04/2019,591,Blovice,ORP,3042,Plzeňský kraj,Kraj,5716
26,273570,12,04/2019,51,Beroun,ORP,3018,Hlavní město Praha,Kraj,5698
27,206328,12,04/2019,51,Beroun,ORP,40924,Praha,Okres,5698
28,38974,12,04/2019,51,Beroun,ORP,19,Praha,ORP,5698
29,229076,12,04/2019,434,Blatná,ORP,40339,Strakonice,Okres,5501
30,238170,12,04/2019,27,Benešov,ORP,40924,Praha,Okres,5126
31,258760,12,04/2019,27,Benešov,ORP,3018,Hlavní město Praha,Kraj,5126
32,89073,12,04/2019,27,Benešov,ORP,19,Praha,ORP,5126
33,82963,12,04/2019,434,Blatná,ORP,434,Blatná,ORP,5116
34,243249,12,04/2019,1295,Blansko,ORP,40711,Brno-město,Okres,4268
35,77953,12,04/2019,1295,Blansko,ORP,1317,Brno,ORP,4268
36,190349,12,04/2019,591,Blovice,ORP,40380,Plzeň-jih,Okres,4073
