,id,snapshot.id,snapshot.name,sourceLocation.id,sourceLocation.name,sourceLocation.type,destinationLocation.id,destinationLocation.name,destinationLocation.type,count
5,33794,12,04/2019,51,Beroun,ORP,51,Beroun,ORP,22944
9,67025,12,04/2019,27,Benešov,ORP,27,Benešov,ORP,21456
10,27908,12,04/2019,1295,Blansko,ORP,1295,Blansko,ORP,20413
11,24498,12,04/2019,1309,Boskovice,ORP,1309,Boskovice,ORP,18289
17,27718,12,04/2019,1783,Bohumín,ORP,1783,Bohumín,ORP,10415
21,33353,12,04/2019,906,Bílina,ORP,906,Bílina,ORP,8834
22,47170,12,04/2019,1830,Bílovec,ORP,1830,Bílovec,ORP,8672
23,54630,12,04/2019,507,Aš,ORP,507,Aš,ORP,8234
28,38974,12,04/2019,51,Beroun,ORP,19,Praha,ORP,5698
32,89073,12,04/2019,27,Benešov,ORP,19,Praha,ORP,5126
33,82963,12,04/2019,434,Blatná,ORP,434,Blatná,ORP,5116
35,77953,12,04/2019,1295,Blansko,ORP,1317,Brno,ORP,4268
38,61616,12,04/2019,1783,Bohumín,ORP,1961,Ostrava,ORP,3996
39,42359,12,04/2019,591,Blovice,ORP,591,Blovice,ORP,3808
40,27273,12,04/2019,1309,Boskovice,ORP,1295,Blansko,ORP,3349
41,68810,12,04/2019,1830,Bílovec,ORP,1961,Ostrava,ORP,2240
43,83658,12,04/2019,906,Bílina,ORP,914,Teplice,ORP,1907
44,29804,12,04/2019,1295,Blansko,ORP,1309,Boskovice,ORP,1687
46,32945,12,04/2019,27,Benešov,ORP,221,Říčany,ORP,1484
48,72723,12,04/2019,1309,Boskovice,ORP,1317,Brno,ORP,1473
50,62123,12,04/2019,591,Blovice,ORP,582,Plzeň,ORP,1299
53,5248,12,04/2019,1783,Bohumín,ORP,1805,Karviná,ORP,1112
55,5693,12,04/2019,51,Beroun,ORP,60,Hořovice,ORP,1044
56,77663,12,04/2019,51,Beroun,ORP,230,Černošice,ORP,1013
58,55093,12,04/2019,507,Aš,ORP,515,Cheb,ORP,730
59,66232,12,04/2019,1309,Boskovice,ORP,1171,Moravská Třebová,ORP,711
60,57340,12,04/2019,1295,Blansko,ORP,1333,Kuřim,ORP,625
61,39657,12,04/2019,1830,Bílovec,ORP,1864,Nový Jičín,ORP,556
62,46776,12,04/2019,27,Benešov,ORP,230,Černošice,ORP,500
66,54691,12,04/2019,51,Beroun,ORP,78,Kladno,ORP,448
70,35935,12,04/2019,434,Blatná,ORP,442,Strakonice,ORP,385
71,25129,12,04/2019,1830,Bílovec,ORP,1945,Opava,ORP,384
72,71612,12,04/2019,1309,Boskovice,ORP,1198,Svitavy,ORP,383
74,94870,12,04/2019,1830,Bílovec,ORP,1856,Kopřivnice,ORP,366
76,26754,12,04/2019,434,Blatná,ORP,400,Písek,ORP,348
77,83065,12,04/2019,1783,Bohumín,ORP,1791,Havířov,ORP,345
78,12620,12,04/2019,27,Benešov,ORP,43,Votice,ORP,342
79,26387,12,04/2019,27,Benešov,ORP,35,Vlašim,ORP,336
80,16316,12,04/2019,1783,Bohumín,ORP,1813,Orlová,ORP,330
82,64658,12,04/2019,1309,Boskovice,ORP,1333,Kuřim,ORP,261
84,65134,12,04/2019,906,Bílina,ORP,892,Most,ORP,239
85,54176,12,04/2019,1830,Bílovec,ORP,1872,Odry,ORP,230
87,19357,12,04/2019,591,Blovice,ORP,655,Rokycany,ORP,227
89,23927,12,04/2019,1295,Blansko,ORP,1368,Šlapanice,ORP,214
93,9528,12,04/2019,591,Blovice,ORP,256,Příbram,ORP,202
97,22785,12,04/2019,1295,Blansko,ORP,1350,Tišnov,ORP,171
101,6654,12,04/2019,906,Bílina,ORP,922,Ústí nad Labem,ORP,167
103,94217,12,04/2019,1309,Boskovice,ORP,1678,Bystřice nad Pernštejnem,ORP,164
106,50036,12,04/2019,434,Blatná,ORP,19,Praha,ORP,161
107,92345,12,04/2019,434,Blatná,ORP,558,Horažďovice,ORP,159
108,50035,12,04/2019,1295,Blansko,ORP,1643,Vyškov,ORP,154
109,23357,12,04/2019,1783,Bohumín,ORP,1741,Frýdek-Místek,ORP,152
110,75671,12,04/2019,27,Benešov,ORP,248,Dobříš,ORP,149
111,26820,12,04/2019,591,Blovice,ORP,604,Nepomuk,ORP,148
112,77455,12,04/2019,27,Benešov,ORP,264,Sedlčany,ORP,140
115,21237,12,04/2019,434,Blatná,ORP,256,Příbram,ORP,139
116,80603,12,04/2019,1309,Boskovice,ORP,1562,Prostějov,ORP,138
117,8199,12,04/2019,906,Bílina,ORP,884,Litvínov,ORP,137
118,89162,12,04/2019,1309,Boskovice,ORP,1180,Polička,ORP,129
120,52528,12,04/2019,434,Blatná,ORP,582,Plzeň,ORP,125
122,62216,12,04/2019,1783,Bohumín,ORP,1929,Hlučín,ORP,114
123,88156,12,04/2019,1295,Blansko,ORP,1562,Prostějov,ORP,112
125,20624,12,04/2019,1309,Boskovice,ORP,1350,Tišnov,ORP,111
128,21415,12,04/2019,51,Beroun,ORP,272,Rakovník,ORP,109
129,43560,12,04/2019,1309,Boskovice,ORP,19,Praha,ORP,109
132,59654,12,04/2019,1309,Boskovice,ORP,1554,Konice,ORP,106
134,77030,12,04/2019,27,Benešov,ORP,94,Kolín,ORP,103
135,47255,12,04/2019,1295,Blansko,ORP,19,Praha,ORP,94
140,33467,12,04/2019,507,Aš,ORP,531,Karlovy Vary,ORP,93
144,78711,12,04/2019,51,Beroun,ORP,655,Rokycany,ORP,79
146,73124,12,04/2019,906,Bílina,ORP,825,Litoměřice,ORP,75
147,35202,12,04/2019,434,Blatná,ORP,604,Nepomuk,ORP,75
150,93461,12,04/2019,507,Aš,ORP,582,Plzeň,ORP,74
151,64222,12,04/2019,1309,Boskovice,ORP,1899,Olomouc,ORP,73
154,48251,12,04/2019,591,Blovice,ORP,612,Přeštice,ORP,71
155,33820,12,04/2019,51,Beroun,ORP,582,Plzeň,ORP,70
160,42683,12,04/2019,906,Bílina,ORP,19,Praha,ORP,68
163,84958,12,04/2019,27,Benešov,ORP,477,Tábor,ORP,64
165,17173,12,04/2019,906,Bílina,ORP,850,Louny,ORP,63
166,18350,12,04/2019,1830,Bílovec,ORP,1848,Frenštát pod Radhoštěm,ORP,62
167,57453,12,04/2019,434,Blatná,ORP,302,České Budějovice,ORP,61
170,7070,12,04/2019,1830,Bílovec,ORP,1741,Frýdek-Místek,ORP,61
172,1738,12,04/2019,27,Benešov,ORP,116,Kutná Hora,ORP,60
174,49972,12,04/2019,1830,Bílovec,ORP,1929,Hlučín,ORP,59
178,60398,12,04/2019,591,Blovice,ORP,19,Praha,ORP,55
180,10738,12,04/2019,906,Bílina,ORP,752,Chomutov,ORP,55
183,18761,12,04/2019,1309,Boskovice,ORP,1368,Šlapanice,ORP,52
186,42722,12,04/2019,1783,Bohumín,ORP,1945,Opava,ORP,50
187,47245,12,04/2019,1783,Bohumín,ORP,1821,Český Těšín,ORP,48
189,72048,12,04/2019,1783,Bohumín,ORP,19,Praha,ORP,47
191,83125,12,04/2019,51,Beroun,ORP,221,Říčany,ORP,46
192,26802,12,04/2019,591,Blovice,ORP,621,Stod,ORP,46
194,58049,12,04/2019,51,Beroun,ORP,213,Brandýs nad Labem-Stará Boleslav,ORP,45
196,55322,12,04/2019,1830,Bílovec,ORP,19,Praha,ORP,45
197,35051,12,04/2019,1783,Bohumín,ORP,1775,Třinec,ORP,44
199,85739,12,04/2019,591,Blovice,ORP,566,Klatovy,ORP,44
205,56687,12,04/2019,1295,Blansko,ORP,1899,Olomouc,ORP,41
206,85885,12,04/2019,51,Beroun,ORP,256,Příbram,ORP,41
209,36399,12,04/2019,1309,Boskovice,ORP,1961,Ostrava,ORP,40
210,82748,12,04/2019,1309,Boskovice,ORP,1970,Hranice,ORP,40
211,84202,12,04/2019,1783,Bohumín,ORP,1856,Kopřivnice,ORP,39
213,30263,12,04/2019,51,Beroun,ORP,248,Dobříš,ORP,36
214,134,12,04/2019,906,Bílina,ORP,833,Lovosice,ORP,36
215,8787,12,04/2019,27,Benešov,ORP,213,Brandýs nad Labem-Stará Boleslav,ORP,36
216,26168,12,04/2019,1295,Blansko,ORP,1341,Rosice,ORP,35
219,5845,12,04/2019,1783,Bohumín,ORP,1317,Brno,ORP,33
221,28202,12,04/2019,51,Beroun,ORP,132,Kralupy nad Vltavou,ORP,31
222,48008,12,04/2019,1830,Bílovec,ORP,1899,Olomouc,ORP,31
224,81699,12,04/2019,1783,Bohumín,ORP,2038,Rožnov pod Radhoštěm,ORP,31
229,67879,12,04/2019,1295,Blansko,ORP,1198,Svitavy,ORP,30
230,33658,12,04/2019,1783,Bohumín,ORP,1899,Olomouc,ORP,30
232,41663,12,04/2019,27,Benešov,ORP,256,Příbram,ORP,29
233,80963,12,04/2019,27,Benešov,ORP,51,Beroun,ORP,29
234,95951,12,04/2019,1309,Boskovice,ORP,1422,Luhačovice,ORP,28
235,45018,12,04/2019,1783,Bohumín,ORP,1864,Nový Jičín,ORP,28
237,94851,12,04/2019,27,Benešov,ORP,302,České Budějovice,ORP,27
240,81174,12,04/2019,507,Aš,ORP,671,Sokolov,ORP,26
242,3366,12,04/2019,27,Benešov,ORP,78,Kladno,ORP,25
243,11216,12,04/2019,1309,Boskovice,ORP,1686,Nové Město na Moravě,ORP,25
245,64141,12,04/2019,1309,Boskovice,ORP,1279,Česká Třebová,ORP,25
249,25406,12,04/2019,1309,Boskovice,ORP,2062,Jeseník,ORP,25
255,2732,12,04/2019,27,Benešov,ORP,167,Mladá Boleslav,ORP,23
256,31226,12,04/2019,51,Beroun,ORP,86,Slaný,ORP,22
257,68313,12,04/2019,591,Blovice,ORP,485,Domažlice,ORP,22
260,93879,12,04/2019,1830,Bílovec,ORP,1791,Havířov,ORP,21
261,62164,12,04/2019,1295,Blansko,ORP,1694,Velké Meziříčí,ORP,21
265,14707,12,04/2019,1783,Bohumín,ORP,1970,Hranice,ORP,20
266,13034,12,04/2019,1309,Boskovice,ORP,1856,Kopřivnice,ORP,20
268,7546,12,04/2019,1295,Blansko,ORP,27,Benešov,ORP,19
269,93415,12,04/2019,1295,Blansko,ORP,1678,Bystřice nad Pernštejnem,ORP,19
270,54353,12,04/2019,507,Aš,ORP,523,Mariánské Lázně,ORP,19
271,5494,12,04/2019,434,Blatná,ORP,418,Prachatice,ORP,19
276,92015,12,04/2019,1295,Blansko,ORP,1422,Luhačovice,ORP,18
277,47239,12,04/2019,434,Blatná,ORP,591,Blovice,ORP,18
278,27184,12,04/2019,1830,Bílovec,ORP,1953,Vítkov,ORP,18
279,6687,12,04/2019,1830,Bílovec,ORP,1805,Karviná,ORP,17
280,35027,12,04/2019,906,Bílina,ORP,86,Slaný,ORP,17
283,95913,12,04/2019,27,Benešov,ORP,132,Kralupy nad Vltavou,ORP,17
284,84171,12,04/2019,591,Blovice,ORP,558,Horažďovice,ORP,17
286,8485,12,04/2019,1830,Bílovec,ORP,1317,Brno,ORP,17
288,62469,12,04/2019,1295,Blansko,ORP,1082,Pardubice,ORP,16
289,91674,12,04/2019,27,Benešov,ORP,108,Český Brod,ORP,16
290,75266,12,04/2019,1783,Bohumín,ORP,1732,Rýmařov,ORP,16
292,63337,12,04/2019,51,Beroun,ORP,876,Žatec,ORP,15
293,47483,12,04/2019,1309,Boskovice,ORP,1708,Žďár nad Sázavou,ORP,15
294,35539,12,04/2019,1309,Boskovice,ORP,1929,Hlučín,ORP,15
295,34570,12,04/2019,591,Blovice,ORP,400,Písek,ORP,15
296,32364,12,04/2019,434,Blatná,ORP,1082,Pardubice,ORP,15
297,31263,12,04/2019,27,Benešov,ORP,1210,Trutnov,ORP,15
302,38850,12,04/2019,1295,Blansko,ORP,1376,Židlochovice,ORP,15
303,58035,12,04/2019,1309,Boskovice,ORP,1082,Pardubice,ORP,15
304,20078,12,04/2019,1309,Boskovice,ORP,1449,Valašské Klobouky,ORP,15
306,71301,12,04/2019,1309,Boskovice,ORP,1996,Přerov,ORP,15
308,42267,12,04/2019,27,Benešov,ORP,1317,Brno,ORP,14
310,70892,12,04/2019,906,Bílina,ORP,78,Kladno,ORP,14
311,94947,12,04/2019,1295,Blansko,ORP,1597,Třebíč,ORP,14
313,84870,12,04/2019,51,Beroun,ORP,1317,Brno,ORP,14
314,53812,12,04/2019,1295,Blansko,ORP,1635,Slavkov u Brna,ORP,14
315,34660,12,04/2019,1830,Bílovec,ORP,1783,Bohumín,ORP,14
319,37683,12,04/2019,1295,Blansko,ORP,1961,Ostrava,ORP,13
320,77038,12,04/2019,1295,Blansko,ORP,1805,Karviná,ORP,13
