unit_code,name,total,male,female,average_age_total,average_age_males,average_age_females,id
4101,Aš,17655,8864,8791,41.5,40.1,42.9,507
2101,Benešov,60380,29826,30554,42,40.7,43.2,27
2102,Beroun,63843,31373,32470,40.6,39.3,41.8,51
4201,Bílina,22542,12268,10274,41.3,40.4,42.4,906
8101,Bílovec,25620,12691,12929,42.3,40.9,43.6,1830
6201,Blansko,56965,28072,28893,42.6,41.2,44,1295
3101,Blatná,13661,6800,6861,43.9,42.1,45.6,434
3201,Blovice,12157,6116,6041,42.9,41.6,44.2,591
8102,Bohumín,33419,16427,16992,42.8,41.2,44.4,1783
6202,Boskovice,51836,25570,26266,42.3,40.9,43.6,1309
2103,Brandýs nad Labem-Stará Boleslav,110899,54799,56100,38.4,37.5,39.3,213
6204,Břeclav,59668,29129,30539,43.1,41.5,44.6,1384
6203,Brno,380681,184048,196633,42.8,41.1,44.5,1317
5201,Broumov,16021,7931,8090,43.3,41.8,44.8,1031
8103,Bruntál,36567,18107,18460,42.4,41,43.9,1716
6205,Bučovice,16084,8053,8031,42.5,41.3,43.7,1627
6101,Bystřice nad Pernštejnem,19810,9916,9894,43.3,41.7,44.8,1678
7201,Bystřice pod Hostýnem,15322,7551,7771,43.8,42,45.5,1520
2104,Čáslav,25652,12655,12997,42.7,41.2,44.1,124
2105,Černošice,146004,71446,74558,39,38.2,39.8,230
5101,Česká Lípa,76838,37908,38930,41.2,39.8,42.5,710
5301,Česká Třebová,18088,8851,9237,43,41.5,44.4,1279
3102,České Budějovice,161376,78553,82823,42,40.7,43.3,302
2106,Český Brod,21294,10515,10779,40.1,39.1,41,108
3103,Český Krumlov,41707,20840,20867,41.6,40.7,42.5,329
8104,Český Těšín,25801,12545,13256,42.3,40.9,43.6,1821
4102,Cheb,49957,24654,25303,42.3,41.1,43.5,515
4203,Chomutov,81640,40570,41070,41.4,40.2,42.6,752
6104,Chotěboř,21903,10892,11011,43.3,42.2,44.5,931
5304,Chrudim,83320,41336,41984,42.6,41.2,44,981
3104,Dačice,18857,9464,9393,43.3,42,44.7,337
4202,Děčín,77031,38096,38935,42.5,41.1,43.9,728
2107,Dobříš,22791,11275,11516,41.4,40.3,42.4,248
5202,Dobruška,20232,10029,10203,42.6,41.2,43.9,1104
3202,Domažlice,40662,20220,20442,42.7,41.5,43.8,485
5203,Dvůr Králové nad Labem,26973,13363,13610,43.8,42.5,45.2,1201
8105,Frenštát pod Radhoštěm,19509,9651,9858,42.2,40.5,43.8,1848
8106,Frýdek-Místek,112033,55286,56747,42.2,40.8,43.6,1741
5102,Frýdlant,24496,12206,12290,41.8,40.7,42.9,809
8107,Frýdlant nad Ostravicí,24909,12348,12561,42.9,41.6,44.1,1759
8108,Havířov,87096,42567,44529,43.7,41.9,45.5,1791
6102,Havlíčkův Brod,52652,26108,26544,42.5,41.1,43.9,949
5302,Hlinsko,21024,10434,10590,43,41.4,44.7,990
8109,Hlučín,40603,19892,20711,42.5,41,43.9,1929
6206,Hodonín,60809,29945,30864,43.2,41.5,44.8,1473
7202,Holešov,21504,10540,10964,42.8,41.4,44.2,1538
5303,Holice,17754,8840,8914,41.8,40.5,43.2,1074
3203,Horažďovice,11608,5816,5792,44.6,43.2,46,558
5204,Hořice,18444,9166,9278,43.2,41.8,44.5,1007
2108,Hořovice,29883,14970,14913,42.5,41.3,43.8,60
3204,Horšovský Týn,14688,7419,7269,42,41,43,493
5205,Hradec Králové,146262,71278,74984,43.3,41.7,44.8,965
7101,Hranice,34141,16804,17337,42.4,40.9,43.8,1970
6103,Humpolec,17732,8841,8891,43.3,41.9,44.7,361
6207,Hustopeče,36108,17955,18153,42.2,40.7,43.6,1392
6208,Ivančice,24378,12138,12240,42.3,41,43.5,1325
5103,Jablonec nad Nisou,56094,27329,28765,42.1,40.4,43.7,779
8110,Jablunkov,22703,11276,11427,41.1,39.6,42.6,1767
5206,Jaroměř,19305,9624,9681,41.8,40.2,43.3,1040
7102,Jeseník,38330,19043,19287,43.7,42.2,45.1,2062
5207,Jičín,48057,23907,24150,42.8,41.3,44.3,1015
6105,Jihlava,100623,49921,50702,42.1,40.7,43.5,1503
5104,Jilemnice,22105,11072,11033,43,41.6,44.5,1139
3105,Jindřichův Hradec,47076,23161,23915,43.1,41.8,44.3,345
4204,Kadaň,43111,21635,21476,41.7,40.5,43,761
3106,Kaplice,19674,10086,9588,41.2,39.9,42.5,311
4103,Karlovy Vary,87166,42694,44472,43.9,42.5,45.3,531
8111,Karviná,64316,32083,32233,44,42.2,45.7,1805
2109,Kladno,124891,60993,63898,41.8,40.4,43.2,78
3205,Klatovy,50564,25061,25503,43.3,42,44.5,566
2110,Kolín,82678,41036,41642,42.2,40.7,43.8,94
7103,Konice,10667,5371,5296,44.1,42.6,45.6,1554
8112,Kopřivnice,40763,20186,20577,42.2,40.6,43.7,1856
5208,Kostelec nad Orlicí,24876,12280,12596,42.9,41.6,44.1,1112
5305,Králíky,8649,4297,4352,42.6,41.5,43.8,1236
3206,Kralovice,22343,11233,11110,43.3,42.4,44.3,639
2111,Kralupy nad Vltavou,32001,15944,16057,41.2,39.9,42.5,132
4104,Kraslice,13153,6639,6514,42.8,41.8,43.9,663
8113,Kravaře,21315,10579,10736,41.2,39.9,42.6,1937
8114,Krnov,40113,19761,20352,43.3,41.6,44.9,1724
7203,Kroměříž,68746,33565,35181,43.2,41.5,44.9,1546
6209,Kuřim,23003,11319,11684,40.7,39.6,41.8,1333
2112,Kutná Hora,49718,24664,25054,43.2,41.9,44.6,116
6210,Kyjov,55461,27441,28020,43.3,41.6,44.9,1481
5306,Lanškroun,23208,11462,11746,41.8,40.5,43.1,1244
5105,Liberec,144878,70974,73904,41.7,40.3,43.1,817
7104,Lipník nad Bečvou,15167,7520,7647,42.5,41.1,43.9,1988
4205,Litoměřice,59118,29261,29857,42.1,40.8,43.4,825
5307,Litomyšl,27136,13477,13659,41.9,40.9,43,1163
7105,Litovel,23734,11848,11886,42.7,41.4,44,1881
4206,Litvínov,37214,18586,18628,42.8,41.6,44,884
4207,Louny,43514,21525,21989,42,40.8,43.3,850
4208,Lovosice,27660,13889,13771,42.9,41.4,44.3,833
7204,Luhačovice,18716,9195,9521,43.5,41.7,45.2,1422
2113,Lysá nad Labem,26461,13025,13436,37.4,36.4,38.4,183
4105,Mariánské Lázně,23928,11608,12320,44.1,42.3,45.8,523
2114,Mělník,44316,21896,22420,41.7,40.3,43.1,141
6211,Mikulov,20130,9908,10222,42.3,40.9,43.7,1406
